n,%adqui
0.5,990
0.3333333333333333,684
0.4,444
0.6666666666666666,325
0.42857142857142855,290
0.375,275
0.25,272
0.4444444444444444,243
0.5714285714285714,239
0.6,223
1.0,218
0.2857142857142857,216
0.0,214
0.36363636363636365,202
0.45454545454545453,201
0.5555555555555556,164
0.3,154
0.2,152
0.38461538461538464,149
0.4166666666666667,138
0.46153846153846156,136
0.3076923076923077,132
0.35714285714285715,123
0.5454545454545454,122
0.75,114
0.2727272727272727,114
0.625,105
0.4375,101
0.4666666666666667,100
0.35294117647058826,100
0.4117647058823529,93
0.42105263157894735,92
0.8,91
0.2222222222222222,90
0.47058823529411764,90
0.3684210526315789,89
0.16666666666666666,89
0.5384615384615384,88
0.3888888888888889,88
0.4090909090909091,85
0.3125,85
0.5333333333333333,81
0.47368421052631576,81
0.29411764705882354,75
0.5625,75
0.5294117647058824,75
0.45,74
0.391304347826087,74
0.23076923076923078,73
0.7142857142857143,72
0.5833333333333334,70
0.26666666666666666,68
0.5263157894736842,67
0.38095238095238093,67
0.34782608695652173,66
0.47619047619047616,66
0.3157894736842105,65
0.2777777777777778,65
0.43478260869565216,63
0.34615384615384615,62
0.35,61
0.5882352941176471,59
0.41379310344827586,57
0.3181818181818182,55
0.21428571428571427,54
0.6153846153846154,54
0.36,53
0.37037037037037035,52
0.14285714285714285,50
0.23529411764705882,49
0.5238095238095238,48
0.6363636363636364,46
0.4074074074074074,46
0.18181818181818182,45
0.7,45
0.3793103448275862,44
0.32,44
0.32142857142857145,42
0.44,42
0.6923076923076923,41
0.39285714285714285,41
0.5217391304347826,41
0.48,41
0.3448275862068966,40
0.4583333333333333,40
0.4782608695652174,40
0.4642857142857143,39
0.48148148148148145,39
0.6428571428571429,38
0.40625,37
0.8333333333333334,37
0.125,37
0.2631578947368421,37
0.52,36
0.2692307692307692,36
0.30434782608695654,36
0.7272727272727273,36
0.56,36
0.2962962962962963,34
0.4230769230769231,34
0.3225806451612903,34
0.28,32
0.1875,32
0.5185185185185185,31
0.45161290322580644,31
0.3103448275862069,31
0.22727272727272727,31
0.38235294117647056,30
0.3783783783783784,30
0.4482758620689655,30
0.5416666666666666,30
0.2916666666666667,30
0.35135135135135137,30
0.4827586206896552,30
0.3548387096774194,29
0.4411764705882353,29
0.4186046511627907,29
0.3870967741935484,29
0.42424242424242425,29
0.36666666666666664,28
0.46875,28
0.5789473684210527,28
0.2608695652173913,28
0.55,27
0.2571428571428571,27
0.4318181818181818,26
0.43333333333333335,26
0.41935483870967744,26
0.5769230769230769,26
0.21739130434782608,26
0.30303030303030304,26
0.4857142857142857,26
0.4838709677419355,25
0.3235294117647059,25
0.21052631578947367,25
0.5652173913043478,25
0.34210526315789475,25
0.6190476190476191,25
0.2972972972972973,24
0.5909090909090909,23
0.5172413793103449,23
0.28125,23
0.2647058823529412,23
0.34146341463414637,23
0.24242424242424243,23
0.4358974358974359,22
0.34375,22
0.34285714285714286,22
0.2903225806451613,22
0.3170731707317073,22
0.3142857142857143,22
0.41025641025641024,21
0.43902439024390244,21
0.48717948717948717,21
0.3488372093023256,21
0.27586206896551724,21
0.1111111111111111,21
0.25925925925925924,21
0.39473684210526316,20
0.631578947368421,20
0.3611111111111111,20
0.25806451612903225,20
0.15384615384615385,20
0.24,20
0.17647058823529413,20
0.36538461538461536,20
0.475,20
0.3409090909090909,20
0.5135135135135135,20
0.43137254901960786,19
0.32432432432432434,19
0.35555555555555557,19
0.6111111111111112,19
0.5428571428571428,19
0.3958333333333333,19
0.40816326530612246,19
0.37142857142857144,19
0.5151515151515151,19
0.5483870967741935,18
0.5161290322580645,18
0.4523809523809524,18
0.2413793103448276,18
0.5357142857142857,18
0.3953488372093023,18
0.6470588235294118,18
0.41304347826086957,18
0.4722222222222222,18
0.3939393939393939,18
0.5666666666666667,18
0.40476190476190477,18
0.425,17
0.358974358974359,17
0.5588235294117647,17
0.7058823529411765,17
0.3055555555555556,17
0.3902439024390244,17
0.45714285714285713,17
0.3673469387755102,17
0.4473684210526316,17
0.2564102564102564,17
0.3469387755102041,17
0.34545454545454546,17
0.23809523809523808,16
0.37735849056603776,16
0.3584905660377358,16
0.40425531914893614,16
0.5121951219512195,16
0.19047619047619047,16
0.45194424064563465,16
0.53125,16
0.8571428571428571,16
0.45098039215686275,16
0.20689655172413793,16
0.4594594594594595,16
0.3829787234042553,16
0.5142857142857142,16
0.4418604651162791,16
0.37777777777777777,15
0.6071428571428571,15
0.1,15
0.33359936153232245,15
0.275,15
0.36585365853658536,15
0.4634146341463415,15
0.3191489361702128,15
0.525,15
0.3877551020408163,15
0.3090909090909091,15
0.15789473684210525,15
0.5609756097560976,15
0.48484848484848486,15
0.43243243243243246,15
0.48936170212765956,15
0.425531914893617,15
0.4447653429602888,15
0.32558139534883723,15
0.3695652173913043,15
0.4565043894652833,15
0.29545454545454547,15
0.46511627906976744,15
0.37209302325581395,14
0.32608695652173914,14
0.3023255813953488,14
0.5517241379310345,14
0.15,14
0.40540540540540543,14
0.6875,14
0.2702702702702703,14
0.5106382978723404,14
0.22857142857142856,14
0.3111111111111111,14
0.38,14
0.24324324324324326,14
0.5925925925925926,14
0.4146341463414634,14
0.46808510638297873,13
0.64,13
0.49019607843137253,13
0.5405405405405406,13
0.41299638989169674,13
0.2926829268292683,13
0.46938775510204084,13
0.39622641509433965,13
0.22580645161290322,13
0.47494217424826524,13
0.5806451612903226,13
0.4107142857142857,13
0.5777777777777777,13
0.4864864864864865,13
0.42,13
0.2653061224489796,13
0.6086956521739131,13
0.32727272727272727,12
0.20833333333333334,12
0.37254901960784315,12
0.4888888888888889,12
0.2978723404255319,12
0.6129032258064516,12
0.4883720930232558,12
0.38636363636363635,12
0.3687150837988827,12
0.5227272727272727,12
0.4222222222222222,12
0.32281731474688186,12
0.3117076808351976,12
0.6333333333333333,12
0.38181818181818183,12
0.30952380952380953,12
0.4807692307692308,12
0.325,12
0.5526315789473685,12
0.4670204700530705,12
0.39373601789709173,12
0.7692307692307693,11
0.4489795918367347,11
0.4423076923076923,11
0.418194161575017,11
0.6538461538461539,11
0.27906976744186046,11
0.6296296296296297,11
0.3392857142857143,11
0.5094339622641509,11
0.65,11
0.3404255319148936,11
0.6842105263157895,11
0.28205128205128205,11
0.3968627450980392,11
0.47576435495898584,11
0.4909090909090909,11
0.42405551272166536,11
0.42888086642599277,11
0.27889634601043994,10
0.4070932922127988,10
0.08333333333333333,10
0.5757575757575758,10
0.5576923076923077,10
0.4205669083717864,10
0.35115722266560256,10
0.42592592592592593,10
0.41509433962264153,10
0.4831372549019608,10
0.4358033749082905,10
0.39732441471571905,10
0.5510204081632653,10
0.32858112695179903,10
0.41698256254738436,10
0.33962264150943394,10
0.5862068965517241,10
0.30612244897959184,10
0.46,10
0.43969676085458304,10
0.4060646011865524,10
0.5581395348837209,10
0.2894736842105263,10
0.3975077881619938,10
0.5116279069767442,10
0.41567529741077675,10
0.6818181818181818,10
0.20588235294117646,10
0.3752665245202559,9
0.35185185185185186,9
0.43636363636363634,9
0.4464660601819454,9
0.441017733230532,9
0.23333333333333334,9
0.34351663272233535,9
0.3617021276595745,9
0.3891345546430828,9
0.41014168530947054,9
0.4331296673455533,9
0.6521739130434783,9
0.2549019607843137,9
0.4772727272727273,9
0.34,9
0.40352164343360236,9
0.18518518518518517,9
0.17391304347826086,9
0.5277777777777778,9
0.13333333333333333,9
0.356386292834891,9
0.7777777777777778,9
0.21621621621621623,9
0.6551724137931034,9
0.42217484008528783,9
0.11764705882352941,9
0.28846153846153844,9
0.41818181818181815,9
0.32228218966846567,9
0.07142857142857142,9
0.46296296296296297,9
0.4690831556503198,9
0.19230769230769232,9
0.4878048780487805,9
0.41486411536328344,9
0.1951219512195122,8
0.3697478991596639,8
0.5526137135098439,8
0.5003668378576669,8
0.1935483870967742,8
0.4727272727272727,8
0.5272727272727272,8
0.47653429602888087,8
0.3160415003990423,8
0.3873807776962582,8
0.5003445899379738,8
0.32075471698113206,8
0.4897959183673469,8
0.5155065472088215,8
0.21212121212121213,8
0.5476190476190477,8
0.24489795918367346,8
0.37316885119506554,8
0.36789297658862874,8
0.575,8
0.38656330749354006,8
0.3148148148148148,8
0.3541666666666667,8
0.41411764705882353,8
0.4038308060654429,8
0.4093728463128877,8
0.17857142857142858,8
0.59375,8
0.43781094527363185,8
0.3773303504847129,8
0.42675585284280937,8
0.37861094038106946,8
0.3638869745003446,8
0.45652173913043476,8
0.5370370370370371,8
0.4336618650492798,8
0.47406225059856344,8
0.5348837209302325,8
0.3137254901960784,8
0.2909090909090909,8
0.3515673017824216,8
0.2682926829268293,8
0.4028352037802717,8
0.39156229400131837,8
0.4579799537393986,8
0.13636363636363635,8
0.473967684021544,8
0.44680851063829785,8
0.5945945945945946,8
0.49162011173184356,7
0.29848363926576216,7
0.48561872909698994,7
0.2837746096401901,7
0.3877202956225128,7
0.30357142857142855,7
0.3796078431372549,7
0.34230999401555956,7
0.23255813953488372,7
0.225,7
0.4310706787963611,7
0.41966250917094644,7
0.28888888888888886,7
0.44574515983791085,7
0.5365853658536586,7
0.5897435897435898,7
0.2619047619047619,7
0.32811334824757643,7
0.5128205128205128,7
0.2708333333333333,7
0.33804548248309774,7
0.5535714285714286,7
0.3269230769230769,7
0.47857613711272246,7
0.40024257125530627,7
0.34196891191709844,7
0.5319148936170213,7
0.27450980392156865,7
0.4213886671987231,7
0.42654735272184935,7
0.2553191489361702,7
0.4678086237448317,7
0.574468085106383,7
0.2558139534883721,7
0.40325865580448067,7
0.34307992202729043,7
0.5003344481605351,7
0.5146198830409356,7
0.39461883408071746,7
0.4429530201342282,7
0.4108810393828664,7
0.26,7
0.48518263266712613,7
0.49379799173065564,7
0.5003158559696779,7
0.39421088904204,7
0.48641819330385344,7
0.5283018867924528,7
0.39215686274509803,7
0.5531914893617021,7
0.34399431414356785,7
0.21875,7
0.7333333333333333,7
0.40384615384615385,7
0.2905355832721937,7
0.297480024585126,7
0.3169067475360121,7
0.2765957446808511,7
0.4716981132075472,7
0.5208333333333334,7
0.3531772575250836,7
0.3335276967930029,7
0.07692307692307693,7
0.37904893177119225,7
0.23636363636363636,7
0.22916666666666666,6
0.45034116755117515,6
0.8181818181818182,6
0.34945848375451266,6
0.3220073183481443,6
0.4495715227422544,6
0.4257377842283503,6
0.36270608300170554,6
0.5071651090342679,6
0.3523382447149263,6
0.3869011522134627,6
0.5176470588235295,6
0.3971119133574007,6
0.34635568513119536,6
0.44314489928525014,6
0.38122743682310467,6
0.4919043947571318,6
0.4528301886792453,6
0.47084002140181913,6
0.18604651162790697,6
0.3818073010173549,6
0.2826086956521739,6
0.36694465504169826,6
0.6956521739130435,6
0.4389465283320032,6
0.3474415666456096,6
0.5091779728651237,6
0.33358605003790753,6
0.338958180484226,6
0.3686415320167564,6
0.4660436137071651,6
0.24581005586592178,6
0.9090909090909091,6
0.3602183141297756,6
0.4420941300898995,6
0.29333333333333333,6
0.5813953488372093,6
0.407636159460977,6
0.3018867924528302,6
0.3335138061721711,6
0.276078431372549,6
0.6785714285714286,6
0.49363250454821106,6
0.285899935022742,6
0.24074074074074073,6
0.4570466030320045,6
0.3066764490095378,6
0.4597418561770129,6
0.2890348660939869,6
0.41358399029714976,6
0.26249067859806113,6
0.5376782077393075,6
0.8235294117647058,6
0.3546344271732873,6
0.4159427695452223,6
0.32330300909727083,6
0.46588235294117647,6
0.20930232558139536,6
0.4168922577152139,6
0.516507703595011,6
0.46508648302370276,6
0.4480651731160896,6
0.31272210376687987,6
0.5306122448979592,6
0.397667638483965,6
0.540072202166065,6
0.09090909090909091,6
0.3057485786481364,6
0.5670962850644428,6
0.5003921568627451,6
0.37009345794392523,6
0.48214285714285715,6
0.4924187725631769,6
0.32784313725490194,6
0.7222222222222222,6
0.3392444101773323,6
0.31781701444622795,6
0.49056603773584906,6
0.33869839048285516,6
0.36508912108174557,6
0.3884430176565008,6
0.46064981949458483,6
0.3530985287561302,6
0.16,6
0.5853658536585366,6
0.54,6
0.3862729449321628,6
0.2700361010830325,6
0.32653061224489793,6
0.2953020134228188,6
0.16216216216216217,6
0.4836997725549659,6
0.4934579439252336,6
0.37734343837255685,6
0.2582538517975055,5
0.5088666152659984,5
0.4414715719063545,5
0.5675492192803802,5
0.4158298877731837,5
0.7083333333333334,5
0.5496476617552851,5
0.4432930339666091,5
0.3384615384615385,5
0.3770599868160844,5
0.5304109589041096,5
0.5197873597164796,5
0.3079076277116865,5
0.4335522991409803,5
0.2641509433962264,5
0.3241511851377322,5
0.4821917808219178,5
0.6060606060606061,5
0.22641509433962265,5
0.509090909090909,5
0.30969139144558744,5
0.2835481425322214,5
0.49327354260089684,5
0.1936903888481291,5
0.6206896551724138,5
0.41998877035373383,5
0.35547576301615796,5
0.30022744503411675,5
0.5434782608695652,5
0.3045484508899143,5
0.4397801099450275,5
0.5850244926522044,5
0.4188260179799048,5
0.5936777178103315,5
0.34805537244561635,5
0.4812895797351756,5
0.566128067025733,5
0.41049562682215746,5
0.31840110268780153,5
0.3426791277258567,5
0.33926453143534996,5
0.3335530652603823,5
0.48471926083866385,5
0.411214953271028,5
0.47463556851311955,5
0.48678549477566074,5
0.4113897152571186,5
0.37355973317161917,5
0.2841100505334082,5
0.3816221284575715,5
0.44642857142857145,5
0.30180505415162456,5
0.48602988953866144,5
0.41455490578297594,5
0.7037037037037037,5
0.3295880149812734,5
0.5718411552346571,5
0.26785714285714285,5
0.4802910855063675,5
0.22448979591836735,5
0.35845213849287166,5
0.4941044357102751,5
0.7857142857142857,5
0.5316275764036958,5
0.43447037701974867,5
0.20512820512820512,5
0.37123991195891415,5
0.2545454545454545,5
0.40794701986754967,5
0.6451612903225806,5
0.17777777777777778,5
0.23684210526315788,5
0.2391304347826087,5
0.44763614602034707,5
0.2900461437046803,5
0.4586228679722047,5
0.35509904622157007,5
0.2633679169992019,5
0.23763501989766914,5
0.13043478260869565,5
0.3694891532540238,5
0.4125644631973746,5
0.3193033381712627,5
0.266868840030326,5
0.40498105035192206,5
0.6136363636363636,5
0.5432098765432098,5
0.37523689197725835,5
0.36065573770491804,5
0.37825845812534664,5
0.06666666666666667,5
0.4842259721203228,5
0.6046511627906976,5
0.42884990253411304,5
0.4791666666666667,5
0.29431438127090304,5
0.4514697726012202,5
0.18421052631578946,5
0.058823529411764705,5
0.5178571428571429,5
0.40025990903183883,5
0.28092577813248204,5
0.3495890410958904,5
0.45808219178082193,5
0.44862745098039214,5
0.39621791985592075,5
0.38488453463960814,5
0.36534296028880864,5
0.46407382992748847,5
0.47002067539627845,5
0.17142857142857143,5
0.4883595018949648,5
0.4287856071964018,5
0.35822571588994945,5
0.4926522043386984,5
0.3335204941044357,5
0.4339622641509434,5
0.253683536194747,5
0.32930339666090963,5
0.31058823529411766,5
0.39090262970859985,5
0.42326191517271533,5
0.4939550949913644,5
0.47173489278752434,5
0.5170583775587566,5
0.3896601244614648,4
0.22236260265319013,4
0.5972120322817315,4
0.3725205611998065,4
0.48807542983915697,4
0.36382428940568473,4
0.45262587980508934,4
0.4416222859483818,4
0.38984051978735973,4
0.3762145355616012,4
0.32983508245877063,4
0.45284825275251317,4
0.34165280088740985,4
0.5471698113207547,4
0.1724137931034483,4
0.25018953752843065,4
0.2415686274509804,4
0.40020212228398183,4
0.5306685044796692,4
0.4228058936579116,4
0.27414330218068533,4
0.5002066969822241,4
0.5476472914195334,4
0.5490196078431373,4
0.4446939921392476,4
0.10526315789473684,4
0.6896551724137931,4
0.49287169042769857,4
0.43397260273972604,4
0.4683115626511853,4
0.5681818181818182,4
0.5085756897837435,4
0.5138291333743086,4
0.6388888888888888,4
0.21553533939818054,4
0.5131195335276968,4
0.4702137335152342,4
0.5740740740740741,4
0.4394390140246494,4
0.29596412556053814,4
0.44602739726027396,4
0.33599444637278725,4
0.2880771881461061,4
0.446220036877689,4
0.45595854922279794,4
0.2764811490125673,4
0.5003553660270078,4
0.43031784841075793,4
0.26054002842254853,4
0.43552701979668274,4
0.5060115002613695,4
0.32238504295098536,4
0.5675675675675675,4
0.31944975162399697,4
0.21568627450980393,4
0.6122448979591837,4
0.20705882352941177,4
0.2659758203799655,4
0.2544333076329992,4
0.4241542379046926,4
0.4617691154422789,4
0.2406447898675878,4
0.3806228373702422,4
0.40250914793518033,4
0.27291523087525843,4
0.5504169825625473,4
0.6764705882352942,4
0.42453480358373535,4
0.4132476520019773,4
0.3736986301369863,4
0.3492063492063492,4
0.3838006230529595,4
0.8888888888888888,4
0.3562066306861989,4
0.47587354409317806,4
0.440200090950432,4
0.6410256410256411,4
0.3848396501457726,4
0.5266307600239377,4
0.34559735427862753,4
0.4056545789797173,4
0.5598267460747157,4
0.6222222222222222,4
0.40194884287454324,4
0.38401469912723935,4
0.4472980203317282,4
0.5849056603773585,4
0.5741983594332588,4
0.1590909090909091,4
0.2814498933901919,4
0.2168309325246399,4
0.43564356435643564,4
0.39149777558082055,4
0.4669024759979788,4
0.22825219473264166,4
0.5767154973014649,4
0.5559065066329754,4
0.24390243902439024,4
0.28785046728971964,4
0.4563222975668129,4
0.44466902475997977,4
0.2743947175348496,4
0.45077461269365315,4
0.5002773155851359,4
0.3536977491961415,4
0.36092468307233405,4
0.3001949317738791,4
0.3245236631837738,4
0.19444444444444445,4
0.24528301886792453,4
0.2354515050167224,4
0.4224355735219808,4
0.23404255319148937,4
0.4413731609451627,4
0.40653873489694387,4
0.361339229311434,4
0.4797507788161994,4
0.419559902200489,4
0.175,4
0.4386292834890966,4
0.523442967109867,4
0.6176470588235294,4
0.40871236386931453,4
0.72,4
0.5102040816326531,4
0.4252416145537237,4
0.3795086251960272,4
0.4158645867905742,4
0.47981438515081204,4
0.42375601926163725,4
0.21951219512195122,4
0.41400940930475694,4
0.35056354450058297,4
0.3875460876689881,4
0.3254794520547945,4
0.15151515151515152,4
0.450255827174531,4
0.2987101154107264,4
0.33786178381571175,4
0.44472520530638027,4
0.2569145666871543,4
0.48080330773774366,4
0.24444444444444444,4
0.46453708716838116,4
0.22597212032281733,4
0.3141195134849286,4
0.3623529411764706,4
0.3715894326548289,4
0.24608501118568232,4
0.3382447149263293,4
0.68,4
0.5121819166215484,4
0.27554383651944625,4
0.29504373177842563,4
0.3015576323987539,4
0.47793618465716226,4
0.37338764426340804,4
0.2830188679245283,4
0.5345794392523364,4
0.5800922874093606,4
0.7307692307692307,4
0.29646266142616506,4
0.7368421052631579,4
0.5336567616737417,4
0.4407146724417975,4
0.16129032258064516,4
0.46080191502094553,4
0.3926901827454314,4
0.30015159171298633,4
0.3297157622739018,4
0.30942334739803096,4
0.34669067987393065,4
0.3110018438844499,4
0.5002320185614849,4
0.4061233678523188,4
0.4709030100334448,4
0.39412034910427196,4
0.5906040268456376,4
0.23826714801444043,4
0.28835774865073244,4
0.32878492527615333,4
0.4534470504619758,4
0.45743989603638724,4
0.31964624131396085,4
0.3971915747241725,4
0.32486709982279977,4
0.18980392156862744,4
0.20454545454545456,4
0.5974202308214528,4
0.5198395006687472,4
0.17073170731707318,4
0.37381309345327335,4
0.5267358339984038,4
0.3281193161149509,4
0.7647058823529411,3
0.5780697321879738,3
0.39407509472959007,3
0.1702127659574468,3
0.38596491228070173,3
0.4052964881980426,3
0.3152647975077882,3
0.3538546866333888,3
0.35548256695300656,3
0.4711844772661454,3
0.2463261021693492,3
0.24653922214897825,3
0.5080134178158777,3
0.3672999424294761,3
0.5127913587265491,3
0.7941176470588235,3
0.4484515876127009,3
0.39465999165623694,3
0.3978082191780822,3
0.5581617999042604,3
0.35013262599469497,3
0.454733360892931,3
0.33959115561118064,3
0.24259131633356307,3
0.4476987447698745,3
0.5388383484954513,3
0.3108167770419426,3
0.4823386114494519,3
0.5609924190213645,3
0.7027027027027027,3
0.5216040666478396,3
0.3638033991731741,3
0.32019405700424497,3
0.5133142154854567,3
0.2345415778251599,3
0.3685680095731951,3
0.4501909059354391,3
0.5327820437093916,3
0.2716049382716049,3
0.37166991552956463,3
0.4410757946210269,3
0.23607562595809914,3
0.27970660146699267,3
0.4769962982548916,3
0.3722897937599154,3
0.533737680060652,3
0.39306984298863024,3
0.4856512141280353,3
0.47480106100795755,3
0.32116788321167883,3
0.547915538711424,3
0.4514033264033264,3
0.5360043313481321,3
0.35469202149648615,3
0.5818181818181818,3
0.1559362079149439,3
0.48175182481751827,3
0.47013698630136985,3
0.39272482317278545,3
0.38670233091325945,3
0.45850701023114815,3
0.5142135186355022,3
0.36859741503111537,3
0.351824087956022,3
0.3053199691595991,3
0.36577017114914423,3
0.2951919493104734,3
0.4713493530499076,3
0.4754615038271049,3
0.5002842524161455,3
0.467622343054869,3
0.343005630142919,3
0.27711686494051785,3
0.5603395997574288,3
0.4269254093389933,3
0.28395820528580207,3
0.2779532533164877,3
0.49545257687310523,3
0.5134649910233393,3
0.21634910878918254,3
0.40930232558139534,3
0.21153846153846154,3
0.5892857142857143,3
0.3573362208987547,3
0.20408163265306123,3
0.38793503480278424,3
0.4225793806350451,3
0.46939921392476136,3
0.4655560558307069,3
0.25665569847442415,3
0.27959866220735785,3
0.41478743068391866,3
0.5159914712153518,3
0.4326982175783651,3
0.38728606356968215,3
0.4536082474226804,3
0.5739130434782609,3
0.3190507580751483,3
0.43654402645721374,3
0.365361803084223,3
0.2127659574468085,3
0.3955579058699101,3
